n anno mese giorno hum_int hum_corrected RH_raw RH_true temp_int temp_corr
324 2022 12 21 29274.40 124.525112 1512 49.37 6133 21.73
325 2022 12 21 29275.40 124.925561 1512 49.37 6134 21.74
326 2022 12 21 29275.40 125.325930 1512 49.37 6134 21.74
327 2022 12 21 29275.40 125.726355 1513 49.40 6134 21.74
328 2022 12 21 29276.40 126.126602 1512 49.37 6134 21.74
329 2022 12 21 29276.40 126.527008 1513 49.40 6134 21.74
330 2022 12 21 29277.40 126.927470 1513 49.40 6134 21.74
331 2022 12 21 29277.40 127.327882 1512 49.37 6134 21.74
332 2022 12 21 29277.40 127.728308 1512 49.37 6134 21.74
333 2022 12 21 29278.40 128.128732 1513 49.40 6133 21.73
334 2022 12 21 29278.40 128.528973 1512 49.37 6133 21.73
335 2022 12 21 29279.40 128.929126 1512 49.37 6133 21.73
336 2022 12 21 29279.00 128.929601 1512 49.37 6134 21.74
337 2022 12 21 29279.00 129.330115 1512 49.37 6133 21.73
338 2022 12 21 29280.00 129.730375 1512 49.37 6132 21.72
339 2022 12 21 29280.00 130.130581 1513 49.40 6132 21.72
340 2022 12 21 29281.00 130.530773 1513 49.40 6133 21.73
341 2022 12 21 29281.00 130.930924 1512 49.37 6133 21.73
342 2022 12 21 29281.40 131.330924 1513 49.40 6132 21.72
343 2022 12 21 29281.40 131.731204 1512 49.37 6134 21.74
344 2022 12 21 29282.40 132.131423 1512 49.37 6134 21.74
345 2022 12 21 29282.40 132.531644 1513 49.40 6133 21.73
346 2022 12 21 29283.40 132.931861 1513 49.40 6134 21.74
347 2022 12 21 29283.40 133.332081 1512 49.37 6134 21.74
348 2022 12 21 29283.40 133.732290 1512 49.37 6134 21.74
349 2022 12 21 29284.40 134.132493 1512 49.37 6134 21.74
350 2022 12 21 29284.40 134.532711 1512 49.37 6134 21.74
351 2022 12 21 29285.40 134.932924 1513 49.40 6134 21.74
352 2022 12 21 29285.40 135.333405 1513 49.40 6134 21.74
353 2022 12 21 29285.40 135.734039 1513 49.40 6135 21.75
354 2022 12 21 29286.40 136.134336 1512 49.37 6136 21.76
355 2022 12 21 29286.40 136.534952 1513 49.40 6135 21.75
356 2022 12 21 29287.40 136.935568 1513 49.40 6135 21.75
357 2022 12 21 29287.40 137.336005 1513 49.40 6135 21.75
358 2022 12 21 29287.00 137.336548 1513 49.40 6134 21.74
359 2022 12 21 29288.00 137.736768 1513 49.40 6135 21.75
360 2022 12 21 29288.00 138.137309 1514 49.43 6136 21.76
361 2022 12 21 29289.00 138.537747 1514 49.43 6135 21.75
362 2022 12 21 29289.00 138.938197 1513 49.40 6137 21.77
363 2022 12 21 29289.00 139.338656 1514 49.44 6136 21.76
364 2022 12 21 29289.40 139.738656 1514 49.43 6136 21.76
365 2022 12 21 29290.40 140.139244 1513 49.40 6137 21.77
366 2022 12 21 29290.40 140.539852 1514 49.44 6136 21.76
367 2022 12 21 29291.40 140.940520 1514 49.43 6137 21.77
368 2022 12 21 29291.40 141.340738 1514 49.44 6137 21.77
369 2022 12 21 29291.40 141.741079 1514 49.44 6137 21.77
370 2022 12 21 29292.40 142.141413 1514 49.44 6137 21.77
371 2022 12 21 29292.40 142.541759 1513 49.40 6137 21.77
372 2022 12 21 29293.40 142.942131 1513 49.40 6136 21.76
373 2022 12 21 29293.40 143.342603 1514 49.43 6138 21.78
374 2022 12 21 29293.40 143.743068 1513 49.41 6136 21.76
375 2022 12 21 29294.40 144.143479 1513 49.40 6138 21.78
376 2022 12 21 29294.40 144.543962 1512 49.37 6137 21.77
377 2022 12 21 29295.40 144.944435 1513 49.40 6137 21.77
378 2022 12 21 29295.40 145.344671 1513 49.40 6137 21.77
379 2022 12 21 29295.40 145.745111 1513 49.40 6138 21.78
380 2022 12 21 29296.00 145.745656 1512 49.37 6138 21.78
381 2022 12 21 29296.00 146.146199 1512 49.37 6138 21.78
382 2022 12 21 29297.00 146.546361 1512 49.37 6139 21.79
383 2022 12 21 29297.00 146.946880 1512 49.38 6139 21.79
384 2022 12 21 29297.00 147.347118 1512 49.38 6138 21.78
385 2022 12 21 29298.00 147.747681 1512 49.37 6138 21.78
386 2022 12 21 29298.40 148.147681 1512 49.37 6140 21.80
387 2022 12 21 29298.40 148.548261 1512 49.38 6139 21.79
388 2022 12 21 29299.40 148.948418 1511 49.34 6140 21.80
389 2022 12 21 29299.40 149.348973 1512 49.38 6140 21.80
390 2022 12 21 29299.40 149.749542 1511 49.35 6139 21.79
391 2022 12 21 29300.40 150.150065 1511 49.34 6141 21.81
392 2022 12 21 29300.40 150.550659 1510 49.32 6141 21.81
393 2022 12 21 29301.40 150.951212 1510 49.32 6141 21.81
394 2022 12 21 29301.40 151.351802 1511 49.35 6140 21.80
395 2022 12 21 29301.40 151.752422 1510 49.31 6141 21.81
396 2022 12 21 29302.40 152.153039 1510 49.32 6141 21.81
397 2022 12 21 29302.40 152.553724 1510 49.32 6142 21.82
398 2022 12 21 29303.40 152.954389 1510 49.32 6142 21.82
399 2022 12 21 29303.40 153.354586 1510 49.32 6142 21.82
400 2022 12 21 29303.40 153.755209 1509 49.28 6140 21.80
401 2022 12 21 29304.40 154.155372 1510 49.31 6141 21.81
402 2022 12 21 29304.00 154.155565 1509 49.28 6141 21.81
403 2022 12 21 29305.00 154.556158 1510 49.32 6140 21.80
404 2022 12 21 29305.00 154.956579 1509 49.28 6140 21.80
405 2022 12 21 29305.00 155.356956 1510 49.31 6141 21.81
406 2022 12 21 29306.00 155.757339 1508 49.25 6140 21.80
407 2022 12 21 29306.40 156.157339 1509 49.28 6140 21.80
408 2022 12 21 29306.40 156.557805 1509 49.28 6141 21.81
409 2022 12 21 29307.40 156.958273 1508 49.25 6140 21.80
410 2022 12 21 29307.40 157.358751 1509 49.28 6140 21.80
411 2022 12 21 29307.40 157.759232 1509 49.28 6139 21.79
412 2022 12 21 29308.40 158.159656 1508 49.25 6140 21.80
413 2022 12 21 29308.40 158.560149 1509 49.28 6140 21.80
414 2022 12 21 29309.40 158.960664 1509 49.28 6139 21.79
415 2022 12 21 29309.40 159.361186 1508 49.25 6139 21.79
